execution time
400 17.95344114303589 36.9126398563385
500 21.08214807510376 35.07528114318848
600 8.086601257324219 21.992614269256592
700 17.68337607383728 42.551340103149414
800 13.97895884513855 47.31025290489197
900 11.269398212432861 42.530268907547
1000 12.24703598022461 62.63600301742554
1100 24.326924085617065 83.72661805152893
1200 25.016499996185303 135.43743681907654


number of patterns
400 876671 999923
500 648288 890443
600 286060 521563
700 620426 982619
800 539487 986631
900 430519 827981
1000 567785 1134723
1100 738339 1437901
1200 1150450 2197305
