execution time
6000 2.0478339195251465 69.95268893241882
8000 3.287385940551758 130.9977388381958
10000 6.653400182723999 225.97825288772583
12000 12.331643104553223 333.04634380340576
14000 18.221262216567993 412.89655208587646
16000 25.63952898979187 514.078950881958
18000 34.861883878707886 624.8894181251526
20000 45.08617091178894 691.8861861228943


number of calculations
6000 57903.0 1320870.0
8000 76371.0 1325033.0
10000 98098.0 1332861.0
12000 128496.0 1341491.0
14000 157646.0 1350149.0
16000 184498.0 1358242.0
18000 210304.0 1366101.0
20000 233601.0 1373793.0
