execution time
6000 1.6105327606201172 71.87671375274658
8000 4.415616989135742 156.59759998321533
10000 8.109899759292603 291.6396791934967
12000 16.297689199447632 598.0384299755096
14000 58.267555236816406 952.194883108139
16000 40.62399411201477 755.4207007884979
18000 45.47674298286438 683.4494168758392
20000 49.69215393066406 764.1093089580536


number of calculations
6000 58266.0 1320870.0
8000 76887.0 1325033.0
10000 98404.0 1332861.0
12000 127736.0 1341491.0
14000 158091.0 1350149.0
16000 182930.0 1358242.0
18000 211483.0 1366101.0
20000 235088.0 1373793.0
