execution time
400 0.9939641952514648 11.467424869537354
500 0.6378450393676758 10.25594186782837
600 0.7184319496154785 14.795511960983276
700 1.179861068725586 16.27044987678528
800 1.0618679523468018 16.910810947418213
900 1.029906988143921 23.043065071105957
1000 1.2816789150238037 25.087863206863403
1100 1.5953068733215332 35.03429985046387
1200 2.0905559062957764 32.096704959869385


number of patterns
400 26454 304110
500 16264 240429
600 13694 212637
700 14099 201569
800 11502 193930
900 11700 196116
1000 11702 194285
1100 11827 196923
1200 12307 202697
