execution time
400 492.4451949596405 187.9536099433899
500 1.6635921001434326 3.8820621967315674
600 1.6586658954620361 3.7925260066986084
700 1.4340221881866455 3.560302972793579
800 1.121500015258789 3.1327078342437744
900 1.2612991333007812 3.6108999252319336
1000 1.2336311340332031 3.855963945388794
1100 1.5013389587402344 3.6191611289978027
1200 1.5535881519317627 4.941274166107178


number of patterns
400 703514 2956880
500 18605 41917
600 16193 33233
700 14248 26730
800 10377 19815
900 10662 19697
1000 10619 19343
1100 10659 19235
1200 10733 19235
