execution time
400 2.376708745956421 35.05968165397644
500 1.6854820251464844 36.98728108406067
600 2.1315348148345947 34.80658197402954
700 1.991546869277954 34.95570087432861
800 2.143826961517334 33.773760080337524
900 2.046921968460083 38.01777100563049
1000 2.415517807006836 41.11262822151184
1100 2.2719850540161133 37.641172885894775
1200 2.027460813522339 37.761924028396606


number of patterns
400 48271 585174
500 26195 425125
600 21460 358705
700 22147 327789
800 16793 304058
900 17272 308864
1000 17387 306913
1100 17629 307459
1200 18436 315953
