execution time
400 2.580242872238159 33.96395015716553
500 1.2415311336517334 28.211188077926636
600 1.2113137245178223 26.83044409751892
700 1.4726998805999756 25.912527084350586
800 1.3867030143737793 24.941531896591187
900 1.2789430618286133 27.19355797767639
1000 1.3868000507354736 29.61184000968933
1100 1.4363970756530762 31.848823070526123
1200 1.6625168323516846 34.64498472213745


number of patterns
400 63587 784194
500 32308 544565
600 26123 449561
700 26981 404717
800 19799 369290
900 20476 376176
1000 20684 374937
1100 20985 374079
1200 21999 383973
