execution time
500 1.178797960281372 2.29370379447937
600 0.5336949825286865 1.260315179824829
700 1.1054308414459229 2.410989284515381
800 0.5671937465667725 2.6316781044006348
900 0.5775389671325684 2.4231019020080566
1000 0.6517481803894043 2.0791337490081787
1100 0.6800730228424072 2.1411280632019043
1200 0.9705076217651367 2.7058701515197754


number of patterns
500 12826 21109
600 4767 7185
700 7693 12248
800 5956 7562
900 5654 6950
1000 6037 7088
1100 6195 7278
1200 8508 10251


patterns in result
data size = 0
