execution time
400 109.50892496109009 191.60040497779846
500 62.89211297035217 110.45579385757446
600 54.661683797836304 128.54373788833618
700 69.72316908836365 166.1711196899414
800 54.212936878204346 177.07085585594177
900 74.22523427009583 245.48805403709412
1000 85.73679709434509 323.2668650150299
1100 101.49922299385071 372.5313341617584
1200 154.65448999404907 555.0183608531952


number of patterns
400 3340403 3875455
500 1534153 2295517
600 1332472 2174938
700 1705082 2666972
800 1427563 2655366
900 1879766 3469522
1000 2203252 4268918
1100 2726739 5287125
1200 3501026 6691157
