execution time
400 51.19287300109863 108.86619997024536
500 34.228015184402466 73.38213300704956
600 29.771142959594727 73.35867023468018
700 52.502978801727295 108.88937306404114
800 36.639631032943726 111.28191208839417
900 40.94659996032715 153.78132915496826
1000 46.98833513259888 165.18388390541077
1100 49.39816403388977 197.36568069458008
1200 62.63729405403137 290.99013090133667


number of patterns
400 1849987 2157753
500 922461 1389549
600 820666 1347150
700 1046202 1660960
800 919649 1710214
900 1185428 2189394
1000 1379252 2668926
1100 1700599 3291947
1200 2170414 4149893
