execution time
7000 5.866698980331421 39.24700689315796
8000 1.823192834854126 23.129538774490356
9000 2.7028799057006836 34.86455583572388
10000 3.7414441108703613 49.56388974189758
11000 4.142552137374878 53.92714071273804
12000 4.075667858123779 52.73587489128113
13000 4.685000896453857 63.54668402671814
14000 5.253237962722778 61.54214024543762
15000 7.9151318073272705 61.74776101112366
16000 5.40774130821228 65.227530002594
17000 5.93710994720459 73.28989505767822
18000 6.498154163360596 78.76305317878723


number of patterns
7000 57266 394927
8000 10726 130921
9000 10146 128099
10000 10305 130990
11000 10068 129494
12000 10679 133391
13000 11000 135300
14000 10908 132991
15000 10791 131990
16000 9963 128441
17000 9924 129231
18000 10246 130400
