, , data size , num att , tha , thc ,
Low acc, Adult , odd , time out or not ,  , ,
 , Compas , , , , ,
 , Creditcard , , , , ,
General, Adult , , , , ,
 , Compas , , , , ,
 , Creditcard , , , , ,
