age_binary, sex_binary, race_C, MarriageStatus_C, juv_fel_count_C, decile_score_C, juv_misd_count_C, juv_other_count_C, priors_count_C, days_b_screening_arrest_C, c_days_from_compas_C, c_charge_degree_C, v_decile_score_C, start_C, end_C, event_C
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 3 size 1 avg -38.276704283668266
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 4 size 0
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 5 size 0
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 6 size 2 avg -84.20874942406792
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att juv_fel_count_C = 0 size 12 avg -3.705325467660804
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att decile_score_C = 0 size 10 avg -78.81132738313076
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att decile_score_C = 1 size 2 avg 167.47407068915265
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att juv_misd_count_C = 0 size 12 avg 0.0
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att juv_other_count_C = 0 size 12 avg 0.0
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att priors_count_C = 0 size 12 avg -161.8889312828802
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att days_b_screening_arrest_C = 0 size 10 avg -172.56706629522265
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att days_b_screening_arrest_C = 1 size 2 avg 422.4917829986497
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att c_days_from_compas_C = 0 size 12 avg 0.0
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att c_charge_degree_C = 0 size 5 avg 0.9641277453721955
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att c_charge_degree_C = 1 size 7 avg -1.5730505319233188
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att v_decile_score_C = 0 size 12 avg -1.1581677131917223
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att v_decile_score_C = 1 size 0
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att start_C = 0 size 12 avg 0.0
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att end_C = 0 size 12 avg -1698.941947005674
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att event_C = 0 size 4 avg 35.28275943813149
group [1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att event_C = 1 size 8 avg -50.772751386579024

group [-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_binary = 0 size 7 avg -26.038565921645233
group [-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_binary = 1 size 3 avg 92.31855190401564
group [-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att sex_binary = 0 size 0
