execution time
10000 1.4314401149749756 411.1720190048218
20000 4.286027193069458 692.0386168956757
30000 6.445586919784546 743.3990316390991
35000 15.972040891647339 1279.270292043686
40000 26.144740104675293 1368.426543712616
45000 38.341734886169434 1205.1409800052643
50000 53.83366298675537 1216.999086856842
55000 82.97023272514343 1367.59242105484
60000 92.72023677825928 1232.802452802658


number of calculations
10000 44873.0 4987530.0
20000 65234.0 4992286.0
30000 81403.0 4995825.0
35000 105037.0 3657536.0
40000 138144.0 2664065.0
45000 170315.0 1847427.0
50000 192137.0 1441269.0
55000 225170.0 1447512.0
60000 244409.0 1164994.0
