execution time
6000 0.14065289497375488 0.39977192878723145
8000 0.26734113693237305 0.7935049533843994
10000 0.48812007904052734 1.1890017986297607
12000 0.5929548740386963 1.2436962127685547
14000 0.8153798580169678 1.384263277053833
16000 0.9364550113677979 1.4837732315063477
18000 1.1471168994903564 1.5785048007965088
20000 1.4617750644683838 1.9230411052703857


number of calculations
6000 1735.0 10799.0
8000 2369.0 10799.0
10000 3256.0 10799.0
12000 3801.0 10799.0
14000 4712.0 10799.0
16000 5247.0 10799.0
18000 5953.0 10799.0
20000 6556.0 10799.0
