execution time
8000 0.7258586883544922 1.9993617534637451
9000 0.5710010528564453 2.5592169761657715
10000 0.6427891254425049 2.5326879024505615
11000 0.7424156665802002 2.947054862976074
12000 0.8478012084960938 3.300773859024048
13000 0.9512429237365723 3.440092086791992
14000 0.9906730651855469 3.631382942199707
15000 1.1885509490966797 4.309674024581909
16000 1.3162407875061035 4.974876165390015
17000 1.4244849681854248 5.361860990524292
18000 1.2802889347076416 5.848968029022217


number of patterns
8000 21763 44967
9000 26171 53670
10000 26510 51867
11000 36111 59192
12000 41510 65703
13000 42717 67127
14000 44013 69777
15000 47896 82316
16000 51474 92465
17000 49061 95187
18000 48881 98577
