execution time
0.05 413.0560760498047
0.1 316.9723153114319
0.15 240.71451711654663
0.2 161.54875802993774
0.25 137.32655096054077
0.3 125.43636512756348
0.35 118.85972380638123
0.4 112.23234105110168
0.45 106.49968004226685
0.5 92.98074507713318


number of calculations
0.05 1377949.0
0.1 1250686.0
0.15 1188481.0
0.2 1050009.0
0.25 990623.0
0.3 886637.0
0.35 844278.0
0.4 771149.0
0.45 738366.0
0.5 682032.0


number of patterns found
0.05 1468 
